,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Savinka,RU,50.0785,47.0994,57.27,61,100,13.44,overcast clouds
325,Kiunga,PG,-6.1219,141.2906,72.63,100,94,2.13,overcast clouds
326,Lake Havasu City,US,34.4839,-114.3224,90.46,5,9,4.0,clear sky
327,Hobyo,SO,5.3505,48.5268,81.73,82,79,26.37,broken clouds
328,Sayyan,YE,15.1718,44.3244,67.26,15,2,13.65,clear sky
329,Ekhabi,RU,53.5102,142.9671,32.65,100,100,19.15,snow
330,Pimentel,PE,-6.8367,-79.9342,73.69,60,0,9.22,clear sky
331,Palmer,US,42.1584,-72.3287,85.57,53,75,4.61,broken clouds
332,Aswan,EG,24.0934,32.907,102.76,8,0,6.13,clear sky
333,Sola,VU,-13.8833,167.55,79.54,72,97,15.97,overcast clouds
334,Jutai,BR,-5.1833,-68.9,87.91,64,93,3.8,overcast clouds
335,Faya,SA,18.3851,42.4509,75.72,14,27,14.85,scattered clouds
336,Shahdadpur,PK,25.9241,68.62,96.8,20,0,16.64,clear sky
337,Horsham,GB,51.064,-0.3272,72.73,53,0,6.91,clear sky
338,Marathon,US,44.9,-89.7668,80.13,29,0,5.75,clear sky
339,Krasnoarmeyskiy,RU,47.0114,42.2072,58.48,82,100,4.83,overcast clouds
340,Kahama,TZ,-3.8333,32.6,72.46,58,100,3.58,overcast clouds
341,Avera,US,33.194,-82.5271,75.25,49,15,0.92,few clouds
342,Ilo,PE,-17.6394,-71.3375,70.66,68,20,11.5,few clouds
343,Honiara,SB,-9.4333,159.95,77.14,87,11,1.9,few clouds
344,Paamiut,GL,61.994,-49.6678,29.73,62,99,12.84,overcast clouds
345,Wanaka,NZ,-44.7,169.15,51.12,91,100,0.38,overcast clouds
346,Saint Anthony,US,45.0205,-93.218,75.78,47,75,17.27,broken clouds
347,Nanortalik,GL,60.1432,-45.2371,32.54,78,82,7.67,broken clouds
348,Prince Rupert,CA,54.3161,-130.3201,47.89,74,75,11.5,broken clouds
349,Shache,CN,38.4167,77.2406,72.72,38,78,19.19,broken clouds
350,San Luis,AR,-33.295,-66.3356,60.49,70,100,2.06,overcast clouds
351,Richards Bay,ZA,-28.783,32.0377,68.92,90,100,4.79,light rain
352,Narsaq,GL,60.9167,-46.05,39.42,70,97,5.17,overcast clouds
353,San Cristobal,VE,7.7669,-72.225,82.58,49,99,8.41,overcast clouds
354,Payson,US,40.0444,-111.7321,67.46,30,40,4.61,scattered clouds
355,Ulladulla,AU,-35.35,150.4667,63.77,81,84,5.08,broken clouds
356,Nishihara,JP,26.1842,127.7558,72.68,94,100,8.05,light rain
357,Grand Gaube,MU,-20.0064,57.6608,75.6,72,4,5.01,clear sky
358,Meadow Lake,US,34.8014,-106.5436,80.69,12,0,9.22,clear sky
359,Altamira,BR,-3.2033,-52.2064,87.89,70,40,6.91,scattered clouds
360,Curanilahue,CL,-37.4667,-73.35,59.4,42,96,4.47,overcast clouds
361,Arman,RU,59.7,150.1667,39.02,98,100,7.27,light rain
362,Bilma,NE,18.6853,12.9164,94.1,10,0,13.49,clear sky
363,Ust-Kuyga,RU,70.0167,135.6,1.8,100,77,3.02,broken clouds
364,Aklavik,CA,68.2191,-135.0107,23.0,86,100,8.05,light snow
365,Banjarmasin,ID,-3.3244,114.591,77.14,90,100,2.84,overcast clouds
366,Wajir,KE,1.7471,40.0573,87.64,39,69,10.11,broken clouds
367,Aripuana,BR,-9.1667,-60.6333,91.87,48,30,4.21,scattered clouds
368,Inhambane,MZ,-23.865,35.3833,67.98,88,20,3.44,few clouds
369,Biabou,VC,13.2,-61.1333,82.4,78,40,14.97,scattered clouds
370,Huambo,AO,-12.7761,15.7392,68.27,48,83,2.86,broken clouds
371,Bealanana,MG,-14.55,48.7333,57.51,97,3,3.76,clear sky
372,Bardiyah,LY,31.7561,25.0865,68.34,61,0,11.36,clear sky
373,Dakoro,NE,14.5106,6.765,102.74,7,32,5.95,scattered clouds
374,San Juan,AR,-31.5375,-68.5364,61.56,58,94,9.69,overcast clouds
375,Hammerfest,NO,70.6634,23.6821,37.71,93,99,5.32,overcast clouds
376,Egvekinot,RU,66.3167,-179.1667,26.24,99,100,5.55,overcast clouds
377,Kokopo,PG,-4.352,152.2633,75.83,83,22,3.85,few clouds
378,Omboue,GA,-1.5746,9.2618,80.22,84,98,6.87,overcast clouds
379,Praxedis Guerrero,MX,31.3667,-106.0167,78.26,3,0,1.79,clear sky
380,Jiangyou,CN,31.7667,104.7167,58.59,87,100,2.42,overcast clouds
381,Xai-Xai,MZ,-25.0519,33.6442,71.11,84,1,9.46,clear sky
382,Vila Velha,BR,-20.3297,-40.2925,80.55,65,20,13.8,few clouds
383,Cabedelo,BR,-6.9811,-34.8339,84.87,76,35,12.39,scattered clouds
384,Sao Jose Da Laje,BR,-9.0097,-36.0583,77.79,86,88,9.6,overcast clouds
385,Luganville,VU,-15.5333,167.1667,76.98,78,94,7.96,overcast clouds
386,Mbalmayo,CM,3.5167,11.5,73.09,96,89,2.33,light rain
387,Kangaatsiaq,GL,68.3065,-53.4641,26.15,72,95,12.53,overcast clouds
388,Flin Flon,CA,54.7682,-101.865,35.44,93,75,10.36,mist
389,Chicama,PE,-7.8447,-79.1469,64.94,62,88,8.21,overcast clouds
390,Anan,JP,33.9167,134.65,60.58,69,83,11.39,broken clouds
391,Niamtougou,TG,9.7681,1.1053,72.09,84,72,13.98,moderate rain
392,Mahibadhoo,MV,3.7833,72.9667,83.14,76,100,17.98,overcast clouds
393,Gravdal,NO,68.1214,13.5031,42.87,86,64,19.26,broken clouds
394,Ancud,CL,-41.8697,-73.8203,54.25,67,43,3.98,scattered clouds
395,Uyuni,BO,-20.4597,-66.825,50.14,11,1,20.24,clear sky
396,Onega,RU,63.9061,38.1404,45.99,87,94,5.93,overcast clouds
397,Canby,US,45.2629,-122.6926,59.18,89,100,13.8,overcast clouds
398,The Valley,AI,18.217,-63.0578,85.86,65,40,19.57,scattered clouds
399,Oranjestad,AW,12.524,-70.027,87.75,62,75,26.46,broken clouds
400,Khani,GE,41.9563,42.9566,60.37,75,56,4.59,broken clouds
401,Khanpur,PK,28.6453,70.6567,102.87,8,1,15.77,clear sky
402,La Asuncion,VE,11.0333,-63.8628,85.73,62,46,20.71,scattered clouds
403,Mattru,SL,7.6244,-11.8332,80.67,79,81,7.63,light rain
404,Pravia,ES,43.4906,-6.1508,73.67,64,0,5.75,clear sky
405,Rio Gallegos,AR,-51.6226,-69.2181,50.05,53,0,9.22,clear sky
406,Pisco,PE,-13.7,-76.2167,67.01,77,20,9.22,smoke
407,Yoichi,JP,43.2039,140.7703,47.19,84,79,11.95,broken clouds
408,Kathmandu,NP,27.7167,85.3167,73.62,88,40,3.44,scattered clouds
409,Stokmarknes,NO,68.5646,14.9108,44.58,76,75,6.91,light rain
410,Rocha,UY,-34.4833,-54.3333,66.97,55,5,3.87,clear sky
411,Zhigansk,RU,66.7697,123.3711,20.48,83,11,9.48,few clouds
412,Omama,JP,36.4333,139.2833,48.7,66,100,5.37,overcast clouds
413,Basoko,CD,1.2391,23.616,78.06,75,71,2.17,broken clouds
414,Koson,UZ,39.0375,65.585,64.72,50,58,11.68,broken clouds
415,Nichinan,JP,31.6,131.3667,64.31,80,59,3.18,broken clouds
416,Kurumkan,RU,54.3,110.3,46.51,49,25,2.82,scattered clouds
417,Tura,IN,25.5198,90.2201,72.45,96,80,6.15,light rain
418,Nizhniy Tsasuchey,RU,50.5167,115.1333,51.01,40,100,6.96,overcast clouds
419,Nazarovo,RU,56.0064,90.3914,63.48,35,66,2.66,broken clouds
420,Namalenga,TZ,-10.95,39.1,71.64,66,23,2.8,few clouds
421,Ballina,AU,-28.8667,153.5667,68.77,96,99,6.64,overcast clouds
422,Constitucion,CL,-35.3333,-72.4167,59.45,45,100,5.53,overcast clouds
423,Ruhengeri,RW,-1.4998,29.635,59.29,98,92,2.37,light rain
424,Mana,GF,5.6592,-53.7767,80.82,85,97,8.93,overcast clouds
425,Nagato,JP,34.3833,131.2,56.19,68,99,2.71,overcast clouds
426,Srivardhan,IN,18.0333,73.0167,82.29,81,21,5.77,few clouds
427,Pokhara,NP,28.2333,83.9833,75.24,56,79,6.44,broken clouds
428,Mahon,ES,39.8885,4.2658,73.96,49,0,8.05,clear sky
429,Srednekolymsk,RU,67.45,153.6833,23.49,95,100,10.25,light snow
430,Statesville,US,35.7826,-80.8873,80.1,61,40,4.61,scattered clouds
431,Bengkulu,ID,-3.8004,102.2655,79.29,89,94,3.87,overcast clouds
432,Nanchong,CN,30.7951,106.0847,57.92,83,100,4.79,light rain
433,San Juan Evangelista,MX,17.9,-95.1333,90.79,41,4,1.86,clear sky
434,College,US,64.8569,-147.8028,38.46,89,75,3.44,broken clouds
435,Wad Madani,SD,14.4012,33.5199,104.86,15,20,3.94,few clouds
436,Barkly West,ZA,-28.5354,24.5215,52.88,18,15,11.7,few clouds
437,Qaqortoq,GL,60.7167,-46.0333,34.03,70,91,5.88,overcast clouds
438,Coahuayana,MX,18.7333,-103.6833,91.4,38,100,6.13,overcast clouds
439,Mogadishu,SO,2.0371,45.3438,81.19,80,69,15.01,broken clouds
440,Nipawin,CA,53.3668,-104.0009,39.24,100,100,17.27,overcast clouds
441,Ponta Delgada,PT,37.7333,-25.6667,67.5,77,40,23.02,scattered clouds
442,Aksay,RU,47.26,39.87,56.25,88,83,7.0,broken clouds
443,Sampit,ID,-2.5333,112.95,76.71,88,99,2.13,light rain
444,Zhezkazgan,KZ,47.8043,67.7144,60.33,52,86,9.73,moderate rain
445,Porto Novo,BJ,6.4965,2.6036,85.82,70,88,10.11,overcast clouds
446,Atbasar,KZ,51.8,68.3333,56.98,77,100,13.89,overcast clouds
447,Amapa,BR,1.0,-52.0,80.78,87,100,3.15,overcast clouds
448,Dawson Creek,CA,55.7666,-120.2362,49.64,32,0,17.27,clear sky
449,Tessalit,ML,20.1986,1.0114,98.65,5,0,11.25,clear sky
450,Rapid Valley,US,44.0625,-103.1463,63.72,32,0,8.01,clear sky
451,Sauk Rapids,US,45.5919,-94.1661,64.78,56,100,8.05,overcast clouds
452,Iracoubo,GF,5.4802,-53.2011,82.09,81,84,9.82,light rain
453,Suluq,LY,31.6682,20.2521,70.34,45,0,16.69,clear sky
454,Ornskoldsvik,SE,63.2909,18.7153,52.75,50,20,21.85,few clouds
455,Zalantun,CN,48.0,122.7167,48.16,58,81,9.84,broken clouds
456,Chauk,MM,20.8833,94.8167,85.78,63,10,14.36,clear sky
457,Kirakira,SB,-10.4544,161.9205,78.66,84,8,2.62,clear sky
458,Alexandria,EG,31.2156,29.9553,68.68,67,99,11.83,overcast clouds
459,Cayenne,GF,4.9333,-52.3333,85.08,1,75,5.01,broken clouds
460,Daru,PG,-9.0763,143.2092,78.39,71,100,4.47,overcast clouds
461,Ampanihy,MG,-24.7,44.75,71.28,56,0,7.9,clear sky
462,Pachelma,RU,53.2443,43.3521,49.62,78,41,7.38,scattered clouds
463,Langsa,ID,4.4683,97.9683,76.6,95,38,2.3,scattered clouds
464,Namibe,AO,-15.1961,12.1522,73.89,64,1,7.47,clear sky
465,Luena,AO,-11.7833,19.9167,66.16,50,2,3.29,clear sky
466,Sechura,PE,-5.5569,-80.8222,75.97,63,35,6.49,scattered clouds
467,Lac Du Bonnet,CA,50.2536,-96.0612,48.83,69,95,13.2,overcast clouds
468,Luanda,AO,-8.8368,13.2343,78.8,83,20,10.36,few clouds
469,Makokou,GA,0.5738,12.8642,75.06,90,68,1.97,light rain
470,Saquarema,BR,-22.92,-42.5103,78.94,68,31,7.96,scattered clouds
471,Armidale,AU,-30.5167,151.65,58.28,92,91,0.74,overcast clouds
472,Vostok,RU,46.4856,135.8833,38.5,72,64,6.46,broken clouds
473,Atar,MR,20.5169,-13.0499,107.56,7,100,11.61,overcast clouds
474,Samarinda,ID,-0.5,117.15,73.71,98,100,1.59,overcast clouds
475,Maracas,BR,-13.4411,-40.4308,77.95,48,100,8.55,overcast clouds
476,Soyo,AO,-6.1349,12.3689,78.57,85,24,8.63,few clouds
477,Itaituba,BR,-4.2761,-55.9836,84.36,79,20,17.27,few clouds
478,Vernon,CA,50.2581,-119.2691,52.41,54,100,1.14,overcast clouds
479,Yinchuan,CN,38.4681,106.2731,57.61,17,57,3.62,broken clouds
480,Yvetot,FR,49.6174,0.7581,72.14,65,76,7.54,broken clouds
481,Boulsa,BF,12.6675,-0.5758,97.7,27,99,13.85,overcast clouds
482,Talisayan,PH,6.9872,121.9272,78.91,87,94,3.71,light rain
483,Ambagarh Chauki,IN,20.7833,80.7167,90.61,34,35,8.03,scattered clouds
484,Santa Cruz,BO,-17.8,-63.1667,81.86,61,75,4.61,broken clouds
485,Bereda,ES,43.2686,-7.5406,67.28,68,78,2.98,broken clouds
486,Manakara,MG,-22.1333,48.0167,70.0,73,7,4.21,clear sky
487,Poum,NC,-20.2333,164.0167,76.08,78,60,13.53,broken clouds
488,Marsh Harbour,BS,26.5412,-77.0636,78.46,78,21,14.32,few clouds
489,Quatre Cocos,MU,-20.2078,57.7625,75.31,74,68,12.95,broken clouds
490,Cave Spring,US,37.2276,-80.0128,78.91,82,100,10.36,overcast clouds
491,Sakakah,SA,29.9697,40.2064,87.37,13,30,9.37,scattered clouds
492,Maragogi,BR,-9.0122,-35.2225,83.17,69,92,11.52,overcast clouds
493,Bainbridge,US,47.6262,-122.5212,54.05,91,100,5.75,overcast clouds
494,Chapais,CA,49.7834,-74.8492,69.58,53,82,5.57,broken clouds
495,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,8.05,light rain
496,Freeport,US,40.6576,-73.5832,76.5,76,40,9.22,scattered clouds
497,Silifke,TR,36.3778,33.9344,71.08,48,100,8.79,overcast clouds
498,Talant,FR,47.3369,5.0089,74.01,35,0,5.75,clear sky
499,Garden City,US,42.3256,-83.331,85.05,50,40,12.66,scattered clouds
500,North Platte,US,41.1239,-100.7654,70.07,37,0,8.05,clear sky
501,Praya,CV,14.9215,-23.5087,86.54,39,0,29.93,clear sky
502,Sao Francisco Do Sul,BR,-26.2433,-48.6381,75.11,69,40,6.91,scattered clouds
503,Okhotsk,RU,59.3833,143.3,33.3,99,100,10.11,overcast clouds
504,La Ronge,CA,55.1001,-105.2842,37.65,87,100,19.57,mist
505,Seddon,AU,-37.8068,144.8916,60.75,89,0,10.36,clear sky
506,Otradnoye,RU,59.7775,30.8181,53.65,65,16,7.25,few clouds
507,Maniitsoq,GL,65.4167,-52.9,27.68,63,100,16.64,overcast clouds
508,Conde,BR,-7.2597,-34.9075,83.66,79,75,13.8,broken clouds
509,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,72.95,51,98,1.79,overcast clouds
510,Aranos,NA,-24.1333,19.1167,69.78,17,0,6.31,clear sky
511,Gobabis,NA,-22.45,18.9667,66.72,18,0,5.12,clear sky
512,Holoby,UA,51.0865,25.0077,60.06,71,64,13.65,broken clouds
513,Maun,BW,-19.9833,23.4167,73.36,38,0,4.61,clear sky
514,Menongue,AO,-14.6585,17.691,65.86,47,1,4.16,clear sky
515,Antalaha,MG,-14.9003,50.2788,74.07,72,0,11.34,clear sky
516,Punta Alta,AR,-38.8759,-62.0736,58.06,40,0,12.24,clear sky
517,Dolinsk,RU,47.35,142.8,36.27,93,100,24.76,overcast clouds
518,Fort-Shevchenko,KZ,44.5086,50.263,59.74,81,35,16.26,scattered clouds
519,Olinda,BR,-8.0089,-34.8553,83.93,70,40,12.66,scattered clouds
520,Mieres,ES,43.25,-5.7667,72.54,71,92,6.08,overcast clouds
521,Troitskoye,RU,52.9821,84.6757,64.9,44,99,7.11,overcast clouds
522,Mariental,NA,-24.6333,17.9667,71.33,17,0,5.5,clear sky
523,Walvis Bay,NA,-22.9575,14.5053,59.95,77,3,3.44,clear sky
524,Pipar,IN,26.3856,73.5378,97.97,18,0,10.69,clear sky
525,Polunochnoye,RU,60.8697,60.4153,43.52,92,90,6.96,overcast clouds
526,Parrita,CR,9.5201,-84.3225,84.92,72,96,6.2,overcast clouds
527,Bayan,CN,46.0833,127.4,49.82,41,90,6.26,overcast clouds
528,Kinna,SE,57.5073,12.6946,55.74,65,75,11.79,broken clouds
529,Drovyanaya,RU,51.5833,113.0333,42.69,55,65,3.24,broken clouds
530,Exeter,GB,50.7236,-3.5275,63.93,64,20,5.75,few clouds
531,Springbok,ZA,-29.6643,17.8865,57.06,14,0,4.36,clear sky
532,Jiazi,CN,22.8779,116.067,69.6,88,100,19.17,overcast clouds
533,Raga,SS,8.4596,25.678,79.25,63,68,8.25,broken clouds
534,Puerto Madryn,AR,-42.7692,-65.0385,55.71,40,1,19.1,clear sky
535,Batemans Bay,AU,-35.7167,150.1833,65.1,86,94,4.18,light rain
536,Isfana,KG,39.8386,69.5306,48.76,79,99,2.8,overcast clouds
537,Council Bluffs,US,41.2619,-95.8608,84.18,32,40,6.91,scattered clouds
538,Lamar,US,33.6668,-95.5836,84.11,61,40,5.75,scattered clouds
539,Cedar Park,US,30.5052,-97.8203,90.88,56,0,9.22,clear sky
540,Meulaboh,ID,4.1363,96.1285,80.33,86,99,3.18,overcast clouds
541,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,9.22,broken clouds
542,Itarema,BR,-2.9248,-39.9167,83.14,76,100,13.56,overcast clouds
543,Novikovo,RU,51.1537,37.8879,53.89,89,100,10.65,moderate rain
544,Honolulu,US,21.3069,-157.8583,75.47,77,20,10.36,few clouds
545,Gasa,PS,31.5,34.4667,81.88,65,100,10.45,overcast clouds
546,Sao Borja,BR,-28.6606,-56.0044,63.55,87,100,2.46,overcast clouds
547,Stepnoye,RU,51.4,46.8667,55.6,66,99,8.34,overcast clouds
548,Tonk,IN,26.1667,75.7833,99.39,12,7,8.43,clear sky
549,Muros,ES,42.7762,-9.0603,87.67,44,61,5.88,broken clouds
550,Falun,SE,60.6036,15.626,59.41,38,98,10.56,overcast clouds
551,Yulara,AU,-25.2406,130.9889,64.58,60,100,6.58,overcast clouds
552,Aue,DE,50.5833,12.7,68.04,59,75,7.11,broken clouds
553,Vulcan,RO,45.3833,23.2667,60.94,71,45,7.67,scattered clouds
554,Ahuimanu,US,21.4447,-157.8378,75.85,77,40,10.36,scattered clouds
555,Flic En Flac,MU,-20.2742,57.3631,75.76,71,4,9.26,clear sky
556,Little Current,CA,45.9793,-81.9248,68.41,75,92,10.65,overcast clouds
557,Tokonou,GN,9.65,-9.7833,88.27,42,74,7.43,broken clouds
558,Talnakh,RU,69.4865,88.3972,35.11,99,100,5.44,overcast clouds
559,Nouadhibou,MR,20.931,-17.0347,82.38,44,100,20.71,overcast clouds
560,Kalga,RU,50.9251,118.898,43.02,66,99,5.53,overcast clouds
561,Hofn,IS,64.2539,-15.2082,38.93,94,100,14.85,overcast clouds
562,Kuah,MY,6.3265,99.8432,82.38,89,20,0.0,few clouds
563,Acapulco,MX,16.8634,-99.8901,87.62,70,100,9.22,overcast clouds
564,Saint-Leu,RE,-21.15,55.2833,72.46,74,22,9.71,few clouds
565,Oranjemund,NA,-28.55,16.4333,57.15,77,0,16.62,clear sky
566,Dabakala,CI,8.3667,-4.4333,95.04,44,96,2.51,overcast clouds
567,Sousa,BR,-6.7592,-38.2281,92.88,38,50,7.72,scattered clouds
568,Minab,IR,27.1467,57.0801,82.72,57,0,4.61,haze
569,Ratnagiri,IN,16.9833,73.3,82.71,77,35,7.43,scattered clouds
570,Piranshahr,IR,36.701,45.1413,56.01,50,1,5.46,clear sky
571,Abha,SA,18.2164,42.5053,75.45,8,0,11.5,clear sky
572,Letka,RU,59.6011,49.4232,45.01,90,94,6.64,light rain
573,Mabaruma,GY,8.2,-59.7833,85.73,62,38,8.23,scattered clouds
574,Kendari,ID,-3.945,122.4989,76.89,91,40,1.19,scattered clouds
575,High Level,CA,58.5169,-117.136,48.31,87,100,6.91,light rain
576,Lasa,IT,46.6166,10.7002,72.48,76,13,1.9,few clouds
577,Nautla,MX,20.2167,-96.7833,84.31,62,88,8.59,overcast clouds
578,Loutros,GR,40.5883,22.3994,71.47,95,89,3.96,overcast clouds
579,Lahaina,US,20.8783,-156.6825,75.81,84,34,7.07,scattered clouds
580,Bangkalan,ID,-7.0455,112.7351,76.95,86,100,3.89,overcast clouds
581,Gwembe,ZM,-16.4975,27.6069,63.09,54,2,1.92,clear sky
582,Chinhoyi,ZW,-17.3667,30.2,64.74,37,0,4.54,clear sky
583,Tornio,FI,65.8481,24.1466,53.62,75,100,3.71,overcast clouds
584,Udachnyy,RU,66.4167,112.4,32.38,94,100,3.69,overcast clouds
585,Manggar,ID,-2.8833,108.2667,82.38,78,97,5.19,overcast clouds
586,Bud,US,39.447,-86.1758,85.93,55,39,4.14,scattered clouds
587,Byron Bay,AU,-28.65,153.6167,68.7,94,91,5.37,overcast clouds
588,Ilebo,CD,-4.3167,20.5833,81.27,62,97,2.66,overcast clouds
589,Gazli,UZ,40.1333,63.45,72.84,21,1,11.48,clear sky
590,Tambacounda,SN,13.7539,-13.7586,108.59,10,81,10.56,broken clouds
591,Cotonou,BJ,6.3654,2.4183,84.47,73,59,12.95,broken clouds
592,Quelimane,MZ,-17.8786,36.8883,75.15,78,20,4.61,few clouds
593,Ipixuna,BR,-1.7625,-48.8043,85.89,73,71,2.77,broken clouds
594,Kununurra,AU,-15.7667,128.7333,71.58,88,59,0.0,broken clouds
595,San Patricio,US,28.017,-97.5169,89.55,39,48,8.88,scattered clouds
596,Suihua,CN,46.6406,126.9969,47.79,51,91,6.64,overcast clouds
597,Kidal,ML,18.4411,1.4078,103.96,5,5,6.67,clear sky
598,Golden,US,39.7555,-105.2211,76.24,18,20,4.61,few clouds
599,Orlik,RU,52.5178,99.825,43.29,33,27,3.22,scattered clouds
600,Sturgeon Bay,US,44.8342,-87.377,78.78,49,0,5.75,clear sky
601,Loknya,RU,56.83,30.1467,48.6,87,98,6.85,overcast clouds
602,Bisira,PA,8.5196,-81.7115,69.87,76,100,0.13,overcast clouds
603,Marrakesh,MA,31.6315,-8.0083,89.67,22,40,9.22,scattered clouds
604,Tsumeb,NA,-19.2333,17.7167,70.02,21,0,6.93,clear sky
605,Necochea,AR,-38.5473,-58.7368,57.13,49,0,16.04,clear sky
606,Hutchinson,US,38.0608,-97.9298,84.04,47,0,5.75,clear sky
607,Kushmurun,KZ,52.4503,64.6311,55.13,60,36,9.22,scattered clouds
608,Shawnee,US,39.05,-95.7669,86.29,51,0,4.61,clear sky
609,Puerto Escondido,MX,15.85,-97.0667,90.43,66,0,8.05,clear sky
610,Lamu,KE,-2.2717,40.902,82.62,79,44,12.82,scattered clouds
611,Dhidhdhoo,MV,6.8833,73.1,79.99,82,100,22.48,heavy intensity rain
612,Yamada,JP,39.4667,141.95,49.87,76,55,4.03,broken clouds
613,Santa Maria,BR,-29.6842,-53.8069,59.45,97,100,0.87,light rain
614,Iquique,CL,-20.2208,-70.1431,64.44,61,35,7.76,scattered clouds
615,Matara,LK,5.9485,80.5353,77.77,91,100,20.24,overcast clouds
616,Bassano,CA,50.7834,-112.4685,52.83,58,18,13.69,few clouds
617,Antofagasta,CL,-23.65,-70.4,61.88,64,2,7.47,clear sky
618,Kentau,KZ,43.5206,68.5094,61.65,67,62,6.08,broken clouds
619,Cockburn Town,TC,21.4612,-71.1419,79.47,84,99,20.74,overcast clouds
620,Turukhansk,RU,65.8167,87.9833,47.3,80,48,6.06,scattered clouds
621,Batatais,BR,-20.8911,-47.585,84.18,32,2,3.76,clear sky
622,Baragua,CU,21.6967,-78.6328,88.41,49,26,13.42,scattered clouds
623,Grimmen,DE,54.1121,13.0405,60.98,70,98,15.03,overcast clouds
624,Lata,PT,40.1629,-8.3327,67.82,43,68,11.83,broken clouds
625,Mhlambanyatsi,SZ,-26.45,31.0167,54.84,97,73,2.66,moderate rain
626,Warrington,GB,53.3925,-2.5802,71.62,49,20,4.61,few clouds
627,Lewistown,US,40.5992,-77.5714,76.19,100,100,4.97,overcast clouds
628,Sena Madureira,BR,-9.0656,-68.6569,94.39,42,58,2.19,broken clouds
629,Mareeba,AU,-17.0,145.4333,69.44,96,91,1.97,overcast clouds
630,Longyan,CN,25.1072,117.0225,66.45,98,100,2.01,overcast clouds
631,Wajima,JP,37.4,136.9,56.01,83,92,9.44,overcast clouds
632,Oktyabrskiy,RU,54.4815,53.471,51.57,82,88,13.09,light rain
633,Dalby,AU,-27.1833,151.2667,64.98,96,87,9.33,overcast clouds
634,Methoni,GR,36.8197,21.7049,71.46,83,5,9.08,clear sky
635,San Ignacio,BZ,17.1561,-89.0714,93.34,38,20,6.91,few clouds
636,Vuktyl,RU,63.8567,57.3094,47.43,82,100,4.5,overcast clouds
637,Beringovskiy,RU,63.05,179.3167,34.52,97,83,1.9,broken clouds
638,Bornem,BE,51.0971,4.2419,75.06,51,0,8.05,clear sky
639,Camalu,MX,30.85,-116.0667,75.11,43,7,6.11,clear sky
640,Linkou,CN,45.3,130.2833,38.95,87,7,6.06,clear sky
641,Chute-Aux-Outardes,CA,49.1168,-68.399,58.98,47,0,10.36,clear sky
642,Jizan,SA,17.3333,42.6667,88.74,58,22,4.85,few clouds
643,Christchurch,NZ,-43.5333,172.6333,52.92,92,100,4.61,drizzle
644,Nagapattinam,IN,10.7667,79.8333,83.68,79,100,20.78,overcast clouds
645,Vardo,NO,70.3705,31.1107,40.98,81,31,4.61,scattered clouds
646,Cabo San Lucas,MX,22.8909,-109.9124,85.6,68,75,4.61,broken clouds
647,Bilibino,RU,68.0546,166.4372,33.1,99,100,7.92,snow
648,Roald,NO,62.5833,6.1333,50.9,76,20,19.57,few clouds
649,Champerico,GT,14.3,-91.9167,91.94,64,77,8.14,broken clouds
650,Winneba,GH,5.3511,-0.6231,83.19,76,100,9.93,overcast clouds
651,Uusikaupunki,FI,60.8004,21.4084,45.07,77,90,9.15,overcast clouds
652,Kutum,SD,14.2,24.6667,89.15,24,69,12.21,broken clouds
